uid,poverq,soverq,pq,satis,repur,recomm,VN_1009_Q20A,VN_1009_TP01,VN_1009_TP02,VN_1009_TP03,VN_1009_TP04,VN_1009_TP05,VN_1009_TP06,VN_1009_TP07,VN_1009_TP08,VN_1009_TP09,VN_1009_TP10,VN_1009_TP11,VN_1009_TP12,VN_1009_TP13,VN_1009_TP14,VN_1009_TP15,VN_1009_TP16,VN_1009_TP17,VN_1009_TP18,VN_1009_TP19,VN_1009_TP22,VN_1009_TP23,Q9C_P,Q9D,age,pincome,income,educat,childsupp,house,VN_1009_TP20_2,VN_1009_TP20_3,VN_1009_TP21_2,VN_1009_TP21_3,VN_1009_TP21_4,VN_1009_TP21_5,VN_1009_TP21_6,VN_1009_TP24_1_2,VN_1009_TP24_2_2,VN_1009_TP25A_2,VN_1009_TP25A_3,Q19_1,gender_2,race_2,race_3,race_4,race_5,work_2,work_3,work_4,work_5,work_6,marital_2,marital_3
4252,0.31299963996354263,0.34331491496606237,1.7808346484968498,0.3560610393925584,-0.3502439832560539,-0.21411129614763136,0.2658808820870737,-0.8198701229550724,-0.4705343446544395,-1.360434925390224,0.2184130687664828,-0.6166454010289885,1.6454988630417393,0.31912171598780337,0.23870198547192265,-0.5171932779325179,2.034362551553104,0.2645588184587198,0.9859757849048658,1.1611597816802341,-0.47793912592146187,-0.5321579474666227,-0.5904043384726622,-1.4429585155390086,0.33480531724116264,-0.28867500946219354,0.3263880020752954,-0.9316531044356937,-0.7640160085061032,-0.40437326743078844,0.6788107666807338,0.2559595269846883,-2.334469965513671,-0.22183052173379372,0.2648945065994997,-1.2993000116030624,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
4253,-1.155620371595603,-0.4174937608590067,-0.4205576545638969,0.3560610393925584,1.2194769501044116,0.5226157443603465,-0.5382956988946228,-0.8198701229550724,-1.2596904782467904,0.30689244391223364,0.2184130687664828,-1.4836336625811695,-1.2937120561508737,1.097467364738543,-0.5131152916049994,-0.5171932779325179,0.30895566976939554,2.01732945835086,0.9859757849048658,1.1611597816802341,0.30960217322821837,1.1656540484388533,1.0202468832771403,1.6769517883291187,0.33480531724116264,0.5714367505741367,-0.6645433135233251,0.20019576959400237,2.29970733387426,-0.7906402691557206,-0.39795449441230096,0.2559595269846883,-0.4406967976134479,0.6375613300194032,0.2648945065994997,-1.2993000116030624,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4260,0.31299963996354263,1.1041235907911315,0.3132397797896853,1.1950855799346687,-0.3502439832560539,0.5226157443603465,1.874234044050467,0.13555026796125352,1.896934056122613,1.9742198132146913,1.0666191610635025,0.2503428605231925,0.9106961332435861,1.8758130134892825,0.23870198547192265,1.210383433324327,2.034362551553104,1.1409441384047898,1.830042802479925,0.32616847800006576,1.8846847715275787,0.3167480504861153,1.8255724941520415,0.8969742123620869,1.115692354538335,1.4315485106104668,1.317319317673916,0.20019576959400237,-0.7640160085061032,-0.3399954338099664,-0.15867332528051548,0.2559595269846883,0.1905609250199599,0.6375613300194032,0.2648945065994997,-0.35220205325914455,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
4261,-1.155620371595603,-0.4174937608590067,-0.4205576545638969,-1.3219880416916623,-1.1351044499362866,-0.9508383366556092,-0.5382956988946228,-0.8198701229550724,0.3186217889379113,-1.360434925390224,-1.4779991158275565,-1.4836336625811695,-1.2937120561508737,0.31912171598780337,-1.2649325686819213,-1.3809816335609404,-0.5537477711224588,0.2645588184587198,-0.7021582502452524,0.32616847800006576,0.30960217322821837,-0.5321579474666227,-0.5904043384726622,-0.6629809395719768,-0.44608172005600977,-0.28867500946219354,0.3263880020752954,-0.9316531044356937,0.4614733284460421,-0.40437326743078844,0.9180919358125194,0.2559595269846883,0.1905609250199599,0.6375613300194032,0.2648945065994997,-0.35220205325914455,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4262,0.31299963996354263,-0.4174937608590067,1.0470372141432676,1.1950855799346687,1.2194769501044116,0.5226157443603465,1.0700574630687703,0.13555026796125352,1.896934056122613,1.9742198132146913,0.2184130687664828,1.9843193836275543,0.9106961332435861,-0.45922393276293627,0.9905192625488446,1.210383433324327,0.30895566976939554,0.2645588184587198,-0.7021582502452524,-0.5088228256801026,-0.47793912592146187,0.3167480504861153,1.0202468832771403,0.11699663639505505,1.115692354538335,0.5714367505741367,0.3263880020752954,1.3320446436236986,1.0742179969221148,-0.8550181027765427,-0.5175950789781937,0.993860866039646,0.8218186476533677,0.6375613300194032,-1.0078718914761753,-0.35220205325914455,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4268,1.0473096457431155,-0.4174937608590067,0.3132397797896853,-0.48296350114955194,-0.3502439832560539,-0.21411129614763136,0.2658808820870737,0.13555026796125352,1.1077779225302622,-0.5267712407389952,-0.6297930235305369,0.2503428605231925,0.9106961332435861,-0.45922393276293627,0.23870198547192265,0.3465950776959046,0.30895566976939554,-0.6118265014873502,-0.7021582502452524,-0.5088228256801026,-0.47793912592146187,0.3167480504861153,0.21492127240223904,-0.6629809395719768,0.33480531724116264,-1.1487867694985237,2.3082506332725363,0.20019576959400237,2.912452002350333,-0.6940735187244876,0.08060784385127004,-1.219843151125227,0.1905609250199599,-1.9406142252401877,-2.28063828955185,-1.2993000116030624,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4269,-0.42131036581603026,-0.4174937608590067,0.3132397797896853,-0.48296350114955194,0.43461648342417886,0.5226157443603465,-0.5382956988946228,0.13555026796125352,-1.2596904782467904,-1.360434925390224,-0.6297930235305369,0.2503428605231925,-0.5589093263527204,-0.45922393276293627,0.9905192625488446,-0.5171932779325179,0.30895566976939554,-0.6118265014873502,-1.5462252678203114,0.32616847800006576,-0.47793912592146187,0.3167480504861153,-0.5904043384726622,0.11699663639505505,0.33480531724116264,-0.28867500946219354,0.3263880020752954,0.20019576959400237,2.29970733387426,-0.8228291859661316,0.559170182114841,0.2559595269846883,-0.4406967976134479,0.6375613300194032,-2.28063828955185,-1.2993000116030624,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4271,-2.6242403831547487,-3.460728464159283,-2.6219499576246434,-3.000037122775883,-2.704825383296752,-3.161019458179543,-2.9508254418397124,-0.8198701229550724,0.3186217889379113,-2.194098610041453,-4.022617392718615,0.2503428605231925,-0.5589093263527204,-2.794260879015155,-2.0167498457588433,0.3465950776959046,-0.5537477711224588,-1.4882118214334203,-0.7021582502452524,-1.343814129360271,-4.415645621669863,-3.9277819392775752,-1.3957299493475632,-4.562868819407136,-3.5696298692446993,-4.5892338096438445,0.3263880020752954,-2.06350197846539,-0.7640160085061032,-0.5975067682932546,1.037732520378412,0.2559595269846883,-0.4406967976134479,-0.22183052173379372,-1.0078718914761753,-1.2993000116030624,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4272,-0.42131036581603026,1.1041235907911315,0.3132397797896853,-0.48296350114955194,0.43461648342417886,0.5226157443603465,-0.5382956988946228,0.13555026796125352,1.1077779225302622,-0.5267712407389952,-0.6297930235305369,0.2503428605231925,-0.5589093263527204,-0.45922393276293627,-1.2649325686819213,0.3465950776959046,-0.5537477711224588,0.2645588184587198,0.1419087673298067,-1.343814129360271,1.0971434723778986,0.3167480504861153,1.0202468832771403,-0.6629809395719768,0.33480531724116264,0.5714367505741367,-0.6645433135233251,0.20019576959400237,-0.7640160085061032,2.170740077402093,0.20024842841716278,-1.219843151125227,-1.0719545202468557,-0.22183052173379372,0.2648945065994997,-1.2993000116030624,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4275,-0.42131036581603026,-0.4174937608590067,1.0470372141432676,0.3560610393925584,-0.3502439832560539,0.5226157443603465,0.2658808820870737,-0.8198701229550724,-0.4705343446544395,0.30689244391223364,-1.4779991158275565,0.2503428605231925,0.9106961332435861,1.097467364738543,0.23870198547192265,0.3465950776959046,0.30895566976939554,1.1409441384047898,-0.7021582502452524,0.32616847800006576,1.0971434723778986,0.3167480504861153,-0.5904043384726622,0.8969742123620869,-0.44608172005600977,-0.28867500946219354,1.317319317673916,0.20019576959400237,1.6869626653981875,-0.2112397665683223,0.9180919358125194,1.7317622050946035,0.8218186476533677,0.6375613300194032,0.2648945065994997,0.5948959050847732,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4276,0.31299963996354263,-0.4174937608590067,1.0470372141432676,1.1950855799346687,1.2194769501044116,0.5226157443603465,1.0700574630687703,-0.8198701229550724,1.1077779225302622,1.9742198132146913,0.2184130687664828,-0.6166454010289885,1.6454988630417393,1.8758130134892825,0.9905192625488446,1.210383433324327,1.1716591106612497,1.1409441384047898,1.830042802479925,-0.5088228256801026,0.30960217322821837,1.1656540484388533,0.21492127240223904,-0.6629809395719768,0.33480531724116264,-0.28867500946219354,1.317319317673916,0.20019576959400237,1.6869626653981875,-0.7584513523453097,-1.7140009246371213,0.2559595269846883,-0.4406967976134479,-0.22183052173379372,0.2648945065994997,0.5948959050847732,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
4279,1.7816196515226883,1.8649322666162005,1.7808346484968498,2.0341101204767793,1.2194769501044116,0.5226157443603465,1.874234044050467,-0.8198701229550724,0.3186217889379113,1.9742198132146913,1.9148252533605221,0.2503428605231925,1.6454988630417393,-0.45922393276293627,0.9905192625488446,0.3465950776959046,-0.5537477711224588,0.2645588184587198,-0.7021582502452524,1.1611597816802341,-0.47793912592146187,2.0145600463915914,1.8255724941520415,1.6769517883291187,1.115692354538335,-0.28867500946219354,-0.6645433135233251,0.20019576959400237,2.29970733387426,0.23940506877743195,-1.355079170939443,-1.9577444901801846,0.8218186476533677,-0.22183052173379372,0.2648945065994997,0.5948959050847732,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4280,0.31299963996354263,-0.4174937608590067,0.3132397797896853,-0.48296350114955194,-0.3502439832560539,-0.21411129614763136,0.2658808820870737,0.13555026796125352,0.3186217889379113,-0.5267712407389952,-1.4779991158275565,0.2503428605231925,-0.5589093263527204,-0.45922393276293627,0.9905192625488446,0.3465950776959046,-0.5537477711224588,-0.6118265014873502,-1.5462252678203114,0.32616847800006576,0.30960217322821837,0.3167480504861153,-0.5904043384726622,0.8969742123620869,-1.2269687573531822,-0.28867500946219354,1.317319317673916,2.4638935176533945,0.4614733284460421,-0.8872070195869537,-0.03903274071462271,0.2559595269846883,-1.7032122428802634,-1.0812223734869906,2.81042730275085,0.5948959050847732,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
4281,0.31299963996354263,0.34331491496606237,-0.4205576545638969,0.3560610393925584,0.43461648342417886,-0.21411129614763136,1.0700574630687703,-1.7752905138713984,0.3186217889379113,-1.360434925390224,-0.6297930235305369,-0.6166454010289885,0.17589340344543286,-1.2375695815136758,0.23870198547192265,-1.3809816335609404,0.30895566976939554,0.2645588184587198,-0.7021582502452524,0.32616847800006576,-0.47793912592146187,1.1656540484388533,-0.5904043384726622,0.11699663639505505,-1.2269687573531822,-0.28867500946219354,-0.6645433135233251,0.20019576959400237,-0.7640160085061032,0.5612942368815421,-0.15867332528051548,0.2559595269846883,1.4530763702867755,0.6375613300194032,0.2648945065994997,0.5948959050847732,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4282,1.0473096457431155,1.1041235907911315,-0.4205576545638969,0.3560610393925584,1.2194769501044116,0.5226157443603465,1.0700574630687703,0.13555026796125352,-0.4705343446544395,1.1405561285634624,-0.6297930235305369,0.2503428605231925,0.17589340344543286,-0.45922393276293627,0.23870198547192265,1.210383433324327,-0.5537477711224588,0.2645588184587198,0.9859757849048658,0.32616847800006576,1.8846847715275787,0.3167480504861153,0.21492127240223904,0.8969742123620869,1.8965793918355074,1.4315485106104668,0.3263880020752954,-0.9316531044356937,1.0742179969221148,-0.40437326743078844,-0.2783139098464082,1.7317622050946035,1.4530763702867755,0.6375613300194032,0.2648945065994997,0.5948959050847732,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4286,1.0473096457431155,-0.4174937608590067,1.0470372141432676,1.1950855799346687,1.2194769501044116,0.5226157443603465,1.0700574630687703,1.0909706588775796,0.3186217889379113,1.1405561285634624,0.2184130687664828,1.9843193836275543,0.17589340344543286,0.31912171598780337,1.7423365396257666,0.3465950776959046,1.1716591106612497,1.1409441384047898,0.9859757849048658,0.32616847800006576,1.0971434723778986,0.3167480504861153,1.0202468832771403,0.8969742123620869,0.33480531724116264,0.5714367505741367,0.3263880020752954,0.20019576959400237,-0.7640160085061032,-0.08248409932667823,1.3966542740760903,0.993860866039646,0.8218186476533677,-1.9406142252401877,2.81042730275085,0.5948959050847732,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4288,-1.155620371595603,-0.4174937608590067,-0.4205576545638969,-0.48296350114955194,-0.3502439832560539,-1.6875653771635872,0.2658808820870737,-0.8198701229550724,-1.2596904782467904,0.30689244391223364,-1.4779991158275565,-0.6166454010289885,-0.5589093263527204,1.097467364738543,-1.2649325686819213,-0.5171932779325179,0.30895566976939554,0.2645588184587198,0.9859757849048658,-0.5088228256801026,0.30960217322821837,-0.5321579474666227,0.21492127240223904,-1.4429585155390086,-0.44608172005600977,-0.28867500946219354,0.3263880020752954,0.20019576959400237,1.6869626653981875,-0.5975067682932546,-0.39795449441230096,0.993860866039646,0.8218186476533677,0.6375613300194032,0.2648945065994997,0.5948959050847732,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4289,1.0473096457431155,1.8649322666162005,-0.4205576545638969,1.1950855799346687,1.2194769501044116,0.5226157443603465,0.2658808820870737,0.13555026796125352,1.896934056122613,0.30689244391223364,1.0666191610635025,1.9843193836275543,0.9106961332435861,0.31912171598780337,0.9905192625488446,1.210383433324327,2.034362551553104,2.01732945835086,0.1419087673298067,0.32616847800006576,0.30960217322821837,2.0145600463915914,1.0202468832771403,0.8969742123620869,0.33480531724116264,0.5714367505741367,0.3263880020752954,0.20019576959400237,-0.7640160085061032,-0.5009400178620215,-1.9532820937689068,0.2559595269846883,-0.4406967976134479,-2.8000060769933848,0.2648945065994997,0.5948959050847732,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4292,-0.42131036581603026,-0.4174937608590067,1.0470372141432676,-0.48296350114955194,-0.3502439832560539,0.5226157443603465,0.2658808820870737,-0.8198701229550724,1.1077779225302622,1.1405561285634624,0.2184130687664828,1.1173311220753734,-0.5589093263527204,0.31912171598780337,0.23870198547192265,-0.5171932779325179,-0.5537477711224588,0.2645588184587198,-0.7021582502452524,1.1611597816802341,0.30960217322821837,-1.381063945419361,0.21492127240223904,1.6769517883291187,-1.2269687573531822,-0.28867500946219354,0.3263880020752954,0.20019576959400237,-0.7640160085061032,0.8831834049856523,1.037732520378412,-1.219843151125227,-1.0719545202468557,-3.6593979287465817,2.81042730275085,-0.35220205325914455,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4293,-0.42131036581603026,1.1041235907911315,0.3132397797896853,0.3560610393925584,0.43461648342417886,-0.21411129614763136,0.2658808820870737,0.13555026796125352,1.1077779225302622,-0.5267712407389952,-0.6297930235305369,1.1173311220753734,0.17589340344543286,-0.45922393276293627,0.9905192625488446,0.3465950776959046,-0.5537477711224588,0.2645588184587198,-0.7021582502452524,-1.343814129360271,0.30960217322821837,1.1656540484388533,-0.5904043384726622,-0.6629809395719768,-0.44608172005600977,0.5714367505741367,0.3263880020752954,-0.9316531044356937,-0.7640160085061032,-0.40437326743078844,1.2770136895101976,-1.9577444901801846,-1.7032122428802634,-2.8000060769933848,1.5376609046751748,-0.35220205325914455,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4298,0.31299963996354263,1.1041235907911315,0.3132397797896853,0.3560610393925584,-0.3502439832560539,1.2593427848683245,1.0700574630687703,0.13555026796125352,-0.4705343446544395,1.1405561285634624,-0.6297930235305369,-1.4836336625811695,0.17589340344543286,-0.45922393276293627,0.9905192625488446,0.3465950776959046,-0.5537477711224588,0.2645588184587198,0.1419087673298067,0.32616847800006576,1.8846847715275787,-0.5321579474666227,0.21492127240223904,0.8969742123620869,0.33480531724116264,0.5714367505741367,1.317319317673916,1.3320446436236986,-0.7640160085061032,-0.40437326743078844,0.20024842841716278,0.2559595269846883,0.8218186476533677,0.6375613300194032,0.2648945065994997,-0.35220205325914455,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4299,1.0473096457431155,0.34331491496606237,-1.1543550889174792,0.3560610393925584,1.2194769501044116,1.2593427848683245,0.2658808820870737,0.13555026796125352,0.3186217889379113,-0.5267712407389952,-1.4779991158275565,1.1173311220753734,-0.5589093263527204,0.31912171598780337,0.23870198547192265,0.3465950776959046,-0.5537477711224588,-1.4882118214334203,0.9859757849048658,0.32616847800006576,0.30960217322821837,0.3167480504861153,1.0202468832771403,-0.6629809395719768,1.115692354538335,0.5714367505741367,-0.6645433135233251,0.20019576959400237,1.6869626653981875,0.23940506877743195,0.7984513512466266,0.2559595269846883,-0.4406967976134479,0.6375613300194032,0.2648945065994997,-0.35220205325914455,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4301,0.31299963996354263,-1.1783024366840757,-1.1543550889174792,0.3560610393925584,0.43461648342417886,-0.21411129614763136,0.2658808820870737,-0.8198701229550724,0.3186217889379113,-0.5267712407389952,1.0666191610635025,-0.6166454010289885,0.9106961332435861,0.31912171598780337,-0.5131152916049994,0.3465950776959046,-0.5537477711224588,-1.4882118214334203,-0.7021582502452524,-1.343814129360271,1.0971434723778986,0.3167480504861153,-1.3957299493475632,0.11699663639505505,-0.44608172005600977,-0.28867500946219354,1.317319317673916,0.20019576959400237,-0.15127134003003054,-0.27561760018914433,-0.2783139098464082,0.2559595269846883,-0.4406967976134479,-0.22183052173379372,-1.0078718914761753,-1.2993000116030624,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4308,-0.42131036581603026,-1.1783024366840757,-1.1543550889174792,-1.3219880416916623,-0.3502439832560539,0.5226157443603465,-0.5382956988946228,-0.8198701229550724,-1.2596904782467904,0.30689244391223364,-0.6297930235305369,-0.6166454010289885,-0.5589093263527204,0.31912171598780337,-1.2649325686819213,-1.3809816335609404,-1.416451212014313,-1.4882118214334203,0.1419087673298067,0.32616847800006576,-0.47793912592146187,-0.5321579474666227,0.21492127240223904,-0.6629809395719768,0.33480531724116264,-0.28867500946219354,-0.6645433135233251,-2.06350197846539,0.4614733284460421,-0.7262624355348987,-1.2354385863735502,-1.219843151125227,-0.4406967976134479,-0.22183052173379372,0.2648945065994997,-1.2993000116030624,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4310,1.7816196515226883,1.1041235907911315,0.3132397797896853,0.3560610393925584,0.43461648342417886,0.5226157443603465,0.2658808820870737,1.0909706588775796,1.1077779225302622,0.30689244391223364,0.2184130687664828,1.1173311220753734,0.17589340344543286,0.31912171598780337,0.9905192625488446,0.3465950776959046,2.034362551553104,1.1409441384047898,1.830042802479925,1.1611597816802341,0.30960217322821837,0.3167480504861153,1.0202468832771403,0.8969742123620869,1.115692354538335,-0.28867500946219354,-0.6645433135233251,1.3320446436236986,1.0742179969221148,-0.5975067682932546,-1.2354385863735502,-1.219843151125227,-1.7032122428802634,-0.22183052173379372,0.2648945065994997,-1.2993000116030624,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
4313,1.0473096457431155,0.34331491496606237,0.3132397797896853,1.1950855799346687,0.43461648342417886,0.5226157443603465,1.0700574630687703,-0.8198701229550724,1.1077779225302622,1.9742198132146913,1.0666191610635025,1.1173311220753734,0.9106961332435861,0.31912171598780337,1.7423365396257666,0.3465950776959046,1.1716591106612497,0.2645588184587198,1.830042802479925,0.32616847800006576,0.30960217322821837,0.3167480504861153,1.0202468832771403,1.6769517883291187,-0.44608172005600977,0.5714367505741367,2.3082506332725363,0.20019576959400237,1.6869626653981875,-0.5653178514828435,-0.9961574172417648,-0.48194181207026937,0.8218186476533677,-0.22183052173379372,0.2648945065994997,0.5948959050847732,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4317,0.31299963996354263,1.1041235907911315,1.0470372141432676,0.3560610393925584,-0.3502439832560539,-0.21411129614763136,-0.5382956988946228,-1.7752905138713984,-0.4705343446544395,-0.5267712407389952,-1.4779991158275565,0.2503428605231925,-0.5589093263527204,-0.45922393276293627,-1.2649325686819213,-0.5171932779325179,1.1716591106612497,-0.6118265014873502,0.1419087673298067,0.32616847800006576,-0.47793912592146187,-0.5321579474666227,0.21492127240223904,0.11699663639505505,0.33480531724116264,-0.28867500946219354,0.3263880020752954,0.20019576959400237,0.4614733284460421,-0.9193959363973647,1.516294858641983,-0.48194181207026937,-1.7032122428802634,-0.22183052173379372,0.2648945065994997,0.5948959050847732,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4319,-2.6242403831547487,-3.460728464159283,-3.355747391978226,-2.1610125822337727,-1.9199649166165194,-1.6875653771635872,-2.146648860858016,0.13555026796125352,-0.4705343446544395,0.30689244391223364,0.2184130687664828,-0.6166454010289885,-3.4981202455453335,0.31912171598780337,0.23870198547192265,0.3465950776959046,-1.416451212014313,0.2645588184587198,0.1419087673298067,-2.1788054330404396,-3.6281043225201826,-0.5321579474666227,-0.5904043384726622,0.11699663639505505,0.33480531724116264,-0.28867500946219354,0.3263880020752954,0.20019576959400237,-0.7640160085061032,-0.08248409932667823,-1.355079170939443,-1.219843151125227,-1.0719545202468557,-0.22183052173379372,0.2648945065994997,0.5948959050847732,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4322,0.31299963996354263,-0.4174937608590067,-1.1543550889174792,-0.48296350114955194,0.43461648342417886,0.5226157443603465,0.2658808820870737,-1.7752905138713984,-0.4705343446544395,-0.5267712407389952,0.2184130687664828,-1.4836336625811695,0.17589340344543286,-0.45922393276293627,-1.2649325686819213,1.210383433324327,1.1716591106612497,-0.6118265014873502,0.1419087673298067,-1.343814129360271,-0.47793912592146187,1.1656540484388533,-0.5904043384726622,0.8969742123620869,1.115692354538335,-0.28867500946219354,0.3263880020752954,-0.9316531044356937,-0.15127134003003054,0.23940506877743195,-0.15867332528051548,-1.219843151125227,0.1905609250199599,-1.0812223734869906,0.2648945065994997,-0.35220205325914455,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4323,1.0473096457431155,0.34331491496606237,1.0470372141432676,1.1950855799346687,-0.3502439832560539,1.2593427848683245,1.0700574630687703,1.0909706588775796,1.896934056122613,0.30689244391223364,0.2184130687664828,1.1173311220753734,0.9106961332435861,1.8758130134892825,0.23870198547192265,0.3465950776959046,2.034362551553104,2.01732945835086,0.9859757849048658,0.32616847800006576,1.0971434723778986,1.1656540484388533,1.0202468832771403,1.6769517883291187,1.115692354538335,1.4315485106104668,-0.6645433135233251,0.20019576959400237,-0.7640160085061032,4.745853422234974,-0.39795449441230096,0.993860866039646,0.1905609250199599,0.6375613300194032,-1.0078718914761753,-0.35220205325914455,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
4326,-1.155620371595603,0.34331491496606237,-0.4205576545638969,-1.3219880416916623,-0.3502439832560539,-0.9508383366556092,-1.3424722798763193,0.13555026796125352,0.3186217889379113,-0.5267712407389952,-0.6297930235305369,-0.6166454010289885,0.17589340344543286,0.31912171598780337,-0.5131152916049994,-1.3809816335609404,-1.416451212014313,-0.6118265014873502,-1.5462252678203114,-1.343814129360271,-1.265480425071142,-1.381063945419361,0.21492127240223904,0.11699663639505505,0.33480531724116264,-0.28867500946219354,0.3263880020752954,-0.9316531044356937,-0.15127134003003054,-0.08248409932667823,-0.6372356635440865,0.2559595269846883,0.1905609250199599,0.6375613300194032,-2.28063828955185,-0.35220205325914455,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4332,-0.42131036581603026,-0.4174937608590067,-0.4205576545638969,-0.48296350114955194,-0.3502439832560539,0.5226157443603465,0.2658808820870737,-0.8198701229550724,0.3186217889379113,-0.5267712407389952,1.0666191610635025,0.2503428605231925,-0.5589093263527204,1.097467364738543,-0.5131152916049994,1.210383433324327,-1.416451212014313,1.1409441384047898,0.9859757849048658,-1.343814129360271,1.0971434723778986,-1.381063945419361,0.21492127240223904,-1.4429585155390086,1.115692354538335,-0.28867500946219354,-1.6554746291219455,-0.9316531044356937,-0.7640160085061032,-0.5009400178620215,1.516294858641983,3.207564883204519,1.4530763702867755,1.4969531817726003,-1.0078718914761753,-0.35220205325914455,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4338,-0.42131036581603026,-0.4174937608590067,0.3132397797896853,-0.48296350114955194,-0.3502439832560539,-0.21411129614763136,0.2658808820870737,0.13555026796125352,1.1077779225302622,-0.5267712407389952,0.2184130687664828,-1.4836336625811695,0.17589340344543286,-1.2375695815136758,-0.5131152916049994,0.3465950776959046,-0.5537477711224588,1.1409441384047898,0.1419087673298067,1.1611597816802341,0.30960217322821837,0.3167480504861153,0.21492127240223904,0.8969742123620869,-1.2269687573531822,-0.28867500946219354,1.317319317673916,2.4638935176533945,0.4614733284460421,0.11064940153578788,1.037732520378412,2.469663544149561,1.4530763702867755,1.4969531817726003,-1.0078718914761753,0.5948959050847732,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
4341,-0.42131036581603026,1.1041235907911315,1.0470372141432676,1.1950855799346687,1.2194769501044116,1.2593427848683245,0.2658808820870737,-0.8198701229550724,1.1077779225302622,1.1405561285634624,1.9148252533605221,0.2503428605231925,0.17589340344543286,1.097467364738543,-0.5131152916049994,0.3465950776959046,0.30895566976939554,-0.6118265014873502,1.830042802479925,1.1611597816802341,0.30960217322821837,1.1656540484388533,0.21492127240223904,0.8969742123620869,-0.44608172005600977,-0.28867500946219354,2.3082506332725363,0.20019576959400237,-0.7640160085061032,-0.7906402691557206,-1.4747197555053357,0.2559595269846883,-0.4406967976134479,-1.0812223734869906,0.2648945065994997,0.5948959050847732,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
4344,-1.155620371595603,-0.4174937608590067,-1.1543550889174792,0.3560610393925584,0.43461648342417886,-0.21411129614763136,1.0700574630687703,0.13555026796125352,1.1077779225302622,0.30689244391223364,1.0666191610635025,0.2503428605231925,-0.5589093263527204,0.31912171598780337,0.23870198547192265,-1.3809816335609404,-0.5537477711224588,-0.6118265014873502,0.1419087673298067,1.1611597816802341,0.30960217322821837,2.0145600463915914,-1.3957299493475632,-0.6629809395719768,0.33480531724116264,-0.28867500946219354,-1.6554746291219455,0.20019576959400237,-0.15127134003003054,-0.5975067682932546,1.037732520378412,0.993860866039646,0.1905609250199599,0.6375613300194032,1.5376609046751748,-0.35220205325914455,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
